Topic,Description
Jury Duty,"Turner requires employees to notify their supervisor or manager if they receive a jury duty notice or subpoena. Regular full-time salaried employees will receive base pay for two weeks, and other employees will be paid as required by law. After two weeks, employees will receive unpaid time off for the duration of their jury duty. Employees must report to work during court recesses of four hours or more if feasible, and must give their Human Resources representative a copy of their certificate of attendance when they return. They will also be paid if summoned as a witness, but not if they initiate the court action or are a defendant."
Social Media Policy,"Turner employees are allowed to access personal social media accounts at work and on Turner devices, but only in limited amounts and not if it interferes with work. Employees must be careful not to share intellectual property or proprietary information without approval. Inappropriate posts such as discriminatory remarks, harassment, and threats of violence are not allowed. Public social networks should not be used for internal company business and all public facing social media sites using the Turner name must be approved by the Headquarters Marketing and Communications department."
Tuition Assistance Program,"Turner encourages its employees to improve their education and skills and to take steps to achieve personal and career goals by obtaining an undergraduate or graduate degree. The Company will reimburse employees for a portion of the cost of this education, provided certain conditions are met. Generally speaking you must be a regular, full-time, salaried employee with a minimum of one (1) year of service with the Company at the start of your course work. Reimbursement will be limited to the cost of tuition and registration fees and will be paid upon completion of the course(s). The cost of course materials and books will not be reimbursed. Pre-approval by both an officer in your business unit or department and by Headquarters Human Resources is required for reimbursement. The maximum annual reimbursable amount for each employee is: Associate’s or Bachelor’s Degree $5,250 per calendar year; Master’s Degree $7,000 per calendar year; Lifetime maximum $40,000."
Diversity and Inclusion Mission Statement,"Turner is committed to creating an inclusive environment where all employees feel respected and valued. They strive to foster a culture of diversity and inclusion, where all employees are encouraged to contribute creative ideas, take on challenges, and have the opportunity to grow. Turner has a long-term commitment to providing equal and non-discriminatory employment opportunities to all persons based on qualifications and merit, without regard to race, gender, sexual orientation, disability, religion, or any other protected characteristic."
Leaves of Absence,"This policy outlines the provisions for taking a leave of absence from work. It describes the different types of leaves available, such as Short Term Disability, Long Term Disability, Family and Medical Leave, Non-FMLA Medical Leave, Parental Leave, Personal Leave, Bereavement Leave, Military Leave, Leave for Family Members of Military Personnel, Jury Duty, Workers’ Compensation, and Unauthorized Leave. If an employee is on an approved paid leave of absence, they will not have a break in service, may continue coverage under various health and welfare benefit plans, and will not receive holiday pay for any Company holidays which fall during their leave."
Dress Code,"Employees must adhere to the dress code of their business unit and any other business units they visit. When on a job site, appropriate dress and safety equipment must be worn. Accommodations will be made for dress or grooming related to religion, ethnicity, or disabilities. If attire is not compliant with policy, employees must go home and change before returning to work. For further information, employees should ask their Human Resources representative."
Anti-Harassment,Turner has a strict policy against sexual and any other form of unlawful harassment. They have procedures in place to manage any inappropriate conduct and are committed to creating a workplace where everyone is treated with respect and dignity. Retaliation against anyone who has complained about sexual or other unlawful harassment is also prohibited.
Workplace Violence,"The Turner Corporation is committed to providing a safe workplace for all employees. They have a workplace violence policy that all employees must review and understand. Possession of weapons on company property or while on company business is strictly prohibited and any employee found to have committed such acts will face disciplinary action, including termination of employment and legal action."
Domestic Violence and the Workplace,"Turner disapproves of any form of violence against women, men, or children, whether in the workplace or in an employee's personal life. The company is committed to following all laws regarding domestic violence in the workplace and to promoting the health and safety of its employees. Employment decisions will not be based on any assumptions or knowledge of whether an applicant or employee is a victim of domestic violence. The company will also abide by all state and local laws granting leave time for domestic violence victims or witnesses to appear in court, consult with an attorney, or exercise their rights."
Substance Abuse,"Turner reserves the right to search any person, property, equipment, or storage areas for illegal drugs, drug paraphernalia, unauthorized controlled substances, alcohol, or other intoxicants. Employees may be required to undergo alcohol and drug screenings, and all testing will be done with respect for the employee's privacy, dignity, and confidentiality. Turner will also comply with any relevant state or local laws regarding workplace searches."
Employee Referral Program,"The Turner Employee Referral Program rewards employees for recommending qualified candidates for employment. Eligible employees can refer candidates for up to one year and will receive a payment through payroll if the candidate is hired. Officers, General Managers, Operations Managers, Business Managers, Human Resources staff, and Trades employees are not eligible for the program."
Bullying,"The Employee Referral Program at Turner provides rewards to employees for referring qualified candidates for employment. Eligible employees are those on the U.S. or Canadian payroll, who are regular and temporary, full and part time staff. Referrals are kept active for one year, and if the candidate is hired, a referral payment will be processed within 45 days of hire. Officers, General Managers, Operations Managers, Business Managers, Human Resources staff, and Trades employees are not eligible for this program."
Voting,Turner believes that it is the responsibility and duty of employees to exercise the privilege of voting in elections. Employees are encouraged to exercise their right to vote and will be granted time off to do so. Managers are authorized to grant reasonable periods of time during the work day to vote if it is not possible to do so before or after work hours. Time taken off for voting does not count as hours worked.
Paid Wellness and Sick Time,"Full-time employees are eligible for up to 10 days of paid wellness and sick time per calendar year, while regular part-time employees with benefits are eligible for a pro-rated amount. Temporary employees, interns, part-time employees without benefits, and other non-eligible employees may accrue paid wellness and sick time at a rate of one hour for every thirty hours worked, up to 40 hours per calendar year. Unused paid wellness and sick time cannot be carried over from one year to the next and will not be paid out upon termination of employment."
Supervisor's Responsibility on Harassment,"Supervisors should have an open-door policy for employees to communicate any potential concerns, take all complaints of alleged or possible harassment seriously, report any incidents or complaints to the appropriate management and Human Resources Director/Manager, take action to prevent retaliation or prohibited conduct, communicate support of the policy and guidelines throughout the organization, and ensure all employees and individuals within their area of responsibility are aware of the policy."
Employment Verification and References,"Turner will handle employment checks and credit inquiries in a confidential manner. Managers are not allowed to provide employment references for current or former employees. Employees, except Human Resources Managers or Directors, are prohibited from providing any references, positive or negative, in any forum for any current or former Turner employees. Requests should be directed to local Human Resources."
Employee Benefits,"Turner offers a variety of health, welfare, retirement, and financial benefit retirement plans, including medical, dental, and vision insurance, and the TRIP (401k) Plan. These plans can be accessed at www.turnerbenefits.com, either through TKN or directly from any computer. The website provides plan overviews and the official Summary Plan Description (SPD) for each plan, which contains the specific details of the plan. In case of any discrepancies between the SPD and other documents, the SPD and the underlying plan documents will take precedence."
Regular Employees,"Regular employees are hired for an indefinite and unspecified duration of time and are scheduled to work a specified work schedule each week. Full-time salaried employees are scheduled to work 30 or more hours per week and are eligible for all Turner benefits subject to individual plan requirements. Part-time salaried employees are scheduled to work at least 20 hours per week, but fewer than 30 hours per week, and are eligible for some benefits on a pro-rated basis. Hourly-paid employees are paid on an hourly basis regardless of the number of hours they work each week and are eligible for some benefits."
Individuals with Disabilities,"Turner complies with the Americans with Disabilities Act and applicable state and local laws to ensure nondiscrimination in employment for qualified individuals with disabilities. Employees can request reasonable accommodations due to a disability in writing to the Human Resources Director or Manager, and may be required to provide medical documentation of workplace limitations."
College and University Gift Matching Program,"Turner offers a gift matching program for colleges and universities, where they will match up to $2,500 per individual, and $5,000 per family, per year. To be eligible, employees and directors must have been with the company for at least one year as of December 31st of the year in which they make their contribution."
Dispute Resolution,"All Turner employees must sign the Mutual Agreement for Alternative Dispute Resolution and any disputes between the company and employee must first be submitted to non-binding mediation. If the dispute is not resolved in mediation, it must be resolved through mandatory, final and binding arbitration, with certain claims excluded from mediation and arbitration as outlined in the Agreement."
Technology Use Policy,"Turner provides electronic communication and information systems for its employees, contractors, consultants, and others to use in order to conduct Turner business. All users must follow the guidelines of no expectation of privacy, limited personal use, and IS approval for purchasing/licensing technology assets and services. Additionally, all employees must certify in writing that they will abide by the terms and conditions of this policy. Works Made for Hire are also clarified."
Ethics and Compliance,"Turner has adopted a Compliance Policy to protect the Company and its employees, and has provided an indexed Compliance Guidelines Resource on TKN to assist employees with common everyday compliance issues and rules. Ken Winfield is the Director of Compliance and leads the development, implementation and enhancement of the company’s compliance policies, programs and practices. Employees may contact the Compliance Department by sending an email to compliance@tcco.com or by calling the Turner hotline at 1-800-738-1924."
Religious Accommodation & Holidays,"Turner recognizes that some employees may wish to observe certain days that are not included in the Company’s regular holiday schedule. Employees may utilize up to three paid days off for bona fide religious observances per year with advance notice of 30 days, and subject to business unit or project/ department management approval. Additionally, Turner recognizes that some religious practices may require additional accommodations related to an employee’s workplace, schedule, or other aspects of employment."
Ethics Hotline,"Turner has set up a confidential ethics hotline administered by a third party administrator for reporting business conduct violations. This hotline can be reached at 1-888-738-1924, 24 hours a day, and 7 days a week. Information received via the hotline is relayed to Turner’s Compliance Department and senior management to investigate. This service is not intended as a substitute for speaking directly with management. It is an option that is available for employees to call on an anonymous basis."
Overtime Compensation (Non-California Employees),"Overtime compensation will be paid to non-exempt employees if the designated manager approves the overtime in advance, time and one-half (1½ times the hourly rate) is paid for hours worked in excess of 40 hours in any workweek, Turner Company holidays are counted as hours worked when calculating overtime, and leaves of absence, vacation, disability days, or any other time away from work (even if these days are compensated) are not considered hours worked for purposes of computing overtime pay."
Employee Development,"Employee Development includes Development Counseling and Performance Appraisal. Factors considered in the performance review are the quantity and quality of work, the manner in which the employee assumes the responsibilities of their position, the personal qualities and skills demonstrated in the performance of their work, and their ability to establish good relationships with co-workers and people outside the Company. Successive levels of supervisory management review development appraisals."
Overtime Compensation (California Employees),"Overtime compensation will be paid to non-exempt employees if the designated manager approves the overtime in advance, time and one-half (1½ times the hourly rate) is paid for hours worked in excess of 8 hours in any workday, double time (2 times the hourly rate) is paid for hours worked in excess of 12 hours in any workday, and time and one-half (1½ times the hourly rate) is paid for the first 8 hours worked on a seventh consecutive workday in one workweek."
Adoption and Surrogacy Assistance Program,"Turner is supportive of all employees as they grow and expand their families, and recognizes that this can happen in many ways. Effective January 1, 2022, the Company is pleased to provide eligible employees the benefit of reimbursing some of the costs associated with adoption and surrogacy. Regular, full time, salaried employees are eligible to receive these benefits upon three (3) months of service for any expenses incurred after the date of hire."
